product_name,genre,price,stock
"Steamroller and the Violin, The (Katok i skripka)",Drama,452927,51
Tristan & Isolde,Drama|Romance,914374,81
Heavenly Creatures,Crime|Drama,587698,78
"Mindscape of Alan Moore, The",Documentary,178280,58
White Night (Hvid nat),Drama,219735,91
Went to Coney Island on a Mission From God... Be Back by Five,Drama,774690,72
Watermark,Documentary,930227,78
Altered States,Drama|Sci-Fi,749642,99
"Curious Case of Benjamin Button, The",Drama|Fantasy|Mystery|Romance,815375,91
Shadow Company,Documentary|War,844563,74
Free Fall,Drama,643910,55
"Come On, Rangers",Romance|Western,754218,51
Beneath the Darkness,Thriller,188721,76
Ballad of the Little Soldier (Ballade vom kleinen Soldaten),Documentary,146240,99
Recoil,Action,583886,56
Micki + Maude,Comedy,185331,86
Daltry Calhoun,Comedy|Drama,539647,88
Actresses (Actrices),Comedy|Drama,294394,80
Sherlock Holmes: The Woman in Green,Mystery,128812,56
Eddie and the Cruisers II: Eddie Lives!,Drama|Musical,862884,94
"Bigamist, The",Drama,366061,97
Burma VJ: Reporting from a Closed Country (Burma VJ: Reporter i et lukket land),Documentary,700115,50
Unaccompanied Minors,Children|Comedy,194059,98
Mulan II,Action|Animation|Children|Comedy|Musical,518182,96
They Wait,Horror|Mystery|Thriller,167356,96
Kiss Me Deadly,Film-Noir,230713,81
Repossessed,Comedy,437168,82
Duel at Diablo,War,331609,92
The Rabbi's Cat (Le chat du rabbin),Adventure|Animation,958683,62
"Ball, The (Le bal)",Musical,352713,100
"Unbelievable Truth, The",Comedy|Drama,330484,58
G.I. Joe: Operation Dragonfire,Action|Animation,734889,58
Bad Company,Western,705344,80
Them!,Horror|Sci-Fi|Thriller,519678,53
Die Fischerin,Drama,243355,74
Murder on a Sunday Morning (Un coupable idéal),Documentary,293800,93
Scandal Sheet,Crime|Drama|Film-Noir|Romance|Thriller,509629,63
"Saga of Gosta Berling, The (Gösta Berlings saga)",Drama|Romance,166546,59
Sidewalks of New York,Comedy|Romance,419797,67
The African,Adventure|Comedy,550528,86
Dirty Sanchez: The Movie,Comedy,722551,67
Me and Earl and the Dying Girl,Drama,305305,60
An Alligator Named Daisy,Comedy|Musical|Romance,643749,93
Two-Way Stretch,Comedy|Crime,135527,95
Ingeborg Holm,Drama,971074,82
"Life and Nothing But (Vie et rien d'autre, La)",Drama,222014,91
Bang the Drum Slowly,Drama,149669,76
Haunted Echoes,Thriller,243369,59
Every Other Weekend (Un week-end sur deux),Drama,963821,75
"Truth of Lie, The (Die Wahrheit der Lüge)",Drama|Thriller,213899,64
"Man Who Never Was, The",Drama|War,838046,66
Pickup on South Street,Film-Noir,904257,51
"Boys: The Sherman Brothers' Story, The",Documentary,949964,72
Kansas,Crime|Drama,955484,77
Tyler Perry's Madea's Big Happy Family,Comedy|Drama,505214,87
Silent Light (Stellet licht),Drama,703811,62
Samson and Delilah,Adventure|Drama,543410,66
Ten Seconds to Hell,Action|Drama|Romance|War,536794,87
Alaska,Adventure|Children,844053,94
Candyman,Horror|Thriller,985169,81
Mister 880,Comedy,283717,99
Dark Days,Documentary,510118,50
Stevie,Documentary,340517,99
Circus,Crime|Drama|Thriller,221220,100
Comandante,Documentary,101173,87
"Scarlet Letter, The (Der scharlachrote Buchstabe)",Drama,667423,91
Buster Keaton: A Hard Act to Follow,Documentary,699609,83
Journey to the Far Side of the Sun (a.k.a. Doppelgänger),Fantasy|Mystery|Sci-Fi|Thriller,692501,66
Lord of the Flies,Adventure|Drama|Thriller,199453,97
Shooting War,Documentary,306383,92
Bend of the River,Western,549349,84
Will Ferrell: You're Welcome America - A Final Night with George W Bush,Comedy,556371,79
Dirty,Crime|Drama|Thriller,831350,86
"Red Violin, The (Violon rouge, Le)",Drama|Mystery,632836,73
"Gunfighter, The",Action|Western,304808,96
Rings on Her Fingers,Comedy|Romance,285455,80
"Santa Clause 3: The Escape Clause, The",Comedy|Fantasy,786199,92
Charlie's Country,Drama,213048,74
"Mating Season, The",Comedy,428758,88
Dead Heat,Action|Comedy|Horror|Sci-Fi,594595,66
Shadow Company,Documentary|War,817114,77
New Jack City,Action|Crime|Drama,317337,83
5 Fingers,Drama|Thriller,449402,88
Air Guitar Nation,Comedy|Documentary|Musical,438641,73
Bjarnfreðarson,Comedy|Drama,651711,62
Provocateur (Prowokator),Drama,756654,71
Jonathan Livingston Seagull,Drama,401734,76
Straight Shooting,Western,926948,63
Abbott and Costello Meet the Keystone Kops,Comedy,387008,93
"King of Texas, The",Documentary,282739,52
Force 10 from Navarone,Action|Drama|War,754171,88
Grind,Action|Comedy,425441,56
In the Company of Men,Comedy|Drama,539793,65
Mushrooming (Seenelkäik),Adventure|Comedy|Thriller,214306,96
Yatterman (Yattâman),Action|Comedy|Fantasy,305979,81
Police State,Drama,802453,81
"Man Named Pearl, A",Documentary,836641,60
Cypher,Action|Sci-Fi|Thriller,899839,59
"Great Outdoors, The",Comedy,835408,85
Class,Comedy,210544,65
Crimes of the Future,Comedy|Sci-Fi,540941,85
Poetry (Shi),Drama,927545,95
They Came Back (Les Revenants),Drama|Fantasy,418445,58
Dot the I,Drama|Film-Noir|Thriller,428410,66
I Knew It Was You: Rediscovering John Cazale,Documentary,862443,64
"End of Violence, The",Drama|Thriller,409210,69
Hum Dil De Chuke Sanam,Drama|Romance,163083,50
Russian Ark (Russkiy Kovcheg),Drama|Fantasy|War,841729,77
Man of Steel,Action|Adventure|Fantasy|Sci-Fi|IMAX,277568,77
Shakes the Clown,Comedy,548884,72
Supernova,Adventure|Sci-Fi|Thriller,875760,94
"Station, The (Blutgletscher)",Horror,921326,66
Legalese,Crime|Drama|Romance,507619,93
La guerre des tuques,Adventure|Children|Comedy|Drama,232491,84
Trigun: Badlands Rumble,Action|Animation|Sci-Fi|Western,531833,75
Happy End,Drama,100699,56
"Eclipse, The",Drama|Horror|Thriller,943610,77
"Django the Bastard (Strangers Gundown, The) (Django il bastardo)",Action|Thriller|Western,192455,86
Something to Talk About,Comedy|Drama|Romance,217063,85
Bluebeard,Film-Noir|Horror,497818,81
"Monuments Men, The",Action|Drama|War,577213,95
"Cassandra Crossing, The",Drama,139177,52
Wreckers,Drama,312416,67
"Texas Chainsaw Massacre: The Beginning, The",Horror|Thriller,417780,57
Dr. Moreau's House of Pain,Horror,587794,55
Eddie,Comedy,782320,95
Monty Python Live (Mostly),Animation|Comedy|Musical,747749,71
Caravaggio,Drama,947363,82
How to Get Ahead in Advertising,Comedy|Fantasy,875021,56
Grand Theft Auto,Action|Comedy,642133,59
Queen of Hearts,Comedy|Drama|Romance,518735,69
"Dark Hours, The",Horror|Thriller,888535,86
Farah Goes Bang,Comedy,180066,78
"Thrill of It All, The",Comedy,539891,82
Addicted,Drama,800893,92
Eva (a.k.a. Eve),Drama,251076,80
The Brain,Comedy|Crime,988330,65
Frankenstein Conquers the World,Action|Drama|Sci-Fi,570208,76
Inside Moves,Drama,745174,56
Tess,Drama|Romance,291608,81
"Return of the Prodigal Son, The (Návrat ztraceného syna)",Drama,960640,61
Baby Boom,Comedy,768518,55
Die,Thriller,176771,100
Jarhead,Action|Drama|War,373556,93
Gentlemen Prefer Blondes,Comedy|Musical|Romance,603698,61
Abelar: Tales of an Ancient Empire (Tales of an Ancient Empire),Fantasy,239522,69
Giant,Drama|Romance|Western,186875,62
"People, Places, Things",Comedy,979809,84
"Joke, The (Zert)",Drama,616349,94
At Sea,Documentary,461379,61
Sharpe's Sword,Action|Adventure|War,627294,82
Sherlock Holmes: Terror by Night,Crime|Mystery|Thriller,835982,86
"Blood, Sweat + Vinyl: DIY in the 21st Century",Documentary,489875,52
To the Wonder,Drama|Romance,679568,93
One Nine Nine Four,Documentary,806229,96
"Few Best Men, A",Comedy,801594,62
Eminem AKA ,Documentary,466989,87
"Hills Have Eyes Part II, The",Horror,605195,84
Just Ask My Children,Drama,674989,100
Diplomatic Immunity (2009– ),Comedy,587350,64
Promise of the Flesh (Yukcheui yaksok),(no genres listed),121425,75
Beauty #2,Drama,291895,91
"Rough House, The",Comedy,750135,98
Chu Chin Chow,Comedy|Fantasy|Musical,107900,64
At the Circus,Comedy|Musical,937450,69
Aashiqui 2,Drama|Musical|Romance,246816,77
With Love... from the Age of Reason,Comedy|Romance,488937,67
"Kiss Me, Guido",Comedy,997312,86
Street Scene,Drama,111376,83
Freddy vs. Jason,Action|Horror|Thriller,605667,84
In the Beginning (À l'Origine),Drama,967351,89
Galaxy of Terror (Quest),Action|Horror|Mystery|Sci-Fi,676209,93
Ryan,Animation|Documentary|Drama|Fantasy,980890,54
Four Sons,Drama|War,342036,71
Griff the Invisible,Comedy|Drama|Romance,100638,81
This Man Must Die (Que la bête meure),Crime|Drama|Thriller,259749,60
Ciao Manhattan (Ciao! Manhattan),Documentary|Drama|Romance,553707,97
Angela,Drama,350784,59
MacGyver: Trail to Doomsday,Action|Adventure,685285,97
Molly Maxwell,Drama|Romance,215103,52
"I Love You, I Love You (Je t'aime je t'aime)",Drama|Sci-Fi,415178,87
Beauty Day,Documentary,709687,82
What Women Want,Comedy|Romance,836766,100
The Lunchbox,Drama|Romance,226563,51
Thank Your Lucky Stars,Comedy|Musical,100370,85
Character (Karakter),Drama,681595,99
Racing with the Moon,Comedy|Drama|Romance,709323,55
Defendor,Comedy|Crime|Drama,651500,60
Accepted,Comedy,702978,89
Annapolis,Drama,688094,98
"Avenging Conscience, The",Drama|Horror,671209,54
"Sadness of Sex, The",Drama,843651,53
Street of Shame (Akasen chitai),Drama,237558,65
Dreamcatcher,Drama|Horror|Sci-Fi|Thriller,783601,81
Into the Blue 2: The Reef,Action|Adventure|Thriller,771815,66
Head Over Heels (De Pernas pro Ar),Comedy,763751,67
Blind Date,Comedy|Romance,324139,63
Honkytonk Man,Comedy|Drama,325719,61
Dead Heat on a Merry-Go-Round,Comedy|Crime,215902,57
"Whistle Blower, The",Thriller,199599,65
Khodorkovsky,Documentary|Drama,580317,85
Infection (Kansen),Drama|Horror,852549,50
Bad Country,Action|Crime|Drama|Thriller,715795,89
Winter Nomads,Documentary,849540,92
Gangster No. 1,Action|Crime|Thriller,364232,94
Incident at Blood Pass (Machibuse) (Ambush),Action|Drama,716713,72
Sylvia Scarlett,Comedy|Drama|Romance,474645,59
"Man from Earth, The",Drama|Sci-Fi,334059,92
"Spanish Earth, The",Documentary,201264,90
"Slums of Beverly Hills, The",Comedy|Drama,200434,80
Spiritual Kung Fu (Quan jing),Action,388272,79
On Any Sunday,Documentary,478580,54
Glumov's Diary (Dnevnik Glumova),(no genres listed),442754,97
Lock Up,Action|Adventure|Crime|Drama|Thriller,331915,70
Tartuffe (Herr Tartüff),Drama,807730,100
Love Streams,Comedy|Drama,903347,66
I've Loved You So Long (Il y a longtemps que je t'aime),Drama|Mystery,772544,97
"Hudsucker Proxy, The",Comedy,599078,87
Badlands,Crime|Drama|Thriller,239192,99
Wilby Wonderful,Drama,205305,95
Barbarians at the Gate,Drama,493520,93
Extreme Prejudice,Action,322187,53
Unthinkable,Drama|Thriller,865138,85
Group Sex,Comedy,682852,78
Search for the Beast,Horror,320376,88
Simon Killer ,Drama,948848,53
Brink of Life (Nära livet),Drama,149414,87
My Own Private Idaho,Drama|Romance,908652,54
You Ain't Seen Nothin' Yet (Vous n'avez encore rien vu),Drama,826632,51
Pulse,Action|Drama|Fantasy|Horror|Mystery|Sci-Fi|Thriller,160393,50
Captain January,Children|Comedy|Musical,449600,64
"Reincarnation of Peter Proud, The",Horror|Mystery,614182,92
Three Little Words,Comedy|Musical|Romance,244549,61
Dark Alibi,Crime|Drama|Mystery|Thriller,332738,67
Boys Life,Drama,773196,71
But I'm a Cheerleader,Comedy,124308,55
"Betrayed (True and the Brave, The)",Drama|Romance|Thriller|War,446035,74
"Lord, Save Us from Your Followers",Documentary,733246,99
"Letter for the King, The (Brief voor de koning, De)",Adventure,934798,57
The Island,Drama|Mystery,466283,75
The Great Kidnapping,Action|Crime|Thriller,204683,74
"Commitments, The",Comedy|Drama|Musical,920594,89
Stevie Nicks: Live at Red Rocks,Documentary|Musical,740886,84
Wing Commander,Action|Sci-Fi,173715,56
Eila,Drama,221175,59
Soccer Days,Comedy,273149,72
"Den, The",Horror|Thriller,458266,76
Wrecked,Thriller,619098,100
The Private Life of Deer,Documentary,584880,76
"Time of the Wolf, The (Le temps du loup)",Drama,254886,78
This American Journey,Documentary,829441,81
Rembrandt's J'accuse,Documentary|Mystery,951539,91
Boys' Night Out,Comedy,767950,91
Friday Night (Vendredi Soir),Drama,799680,79
Igby Goes Down,Comedy|Drama,199539,70
Mrs. Henderson Presents,Comedy|Drama,658855,100
Bliss (Mutluluk),Drama,865561,98
Austin Powers: International Man of Mystery,Action|Adventure|Comedy,500841,57
"Oath, The",Documentary,171028,79
"Search, The",Drama|War,845733,87
How the West Was Fun,Children|Western,275236,75
White Zombie,Horror,223509,58
"Devil's Carnival, The",Horror|Musical,953004,96
"Faraway, So Close (In weiter Ferne, so nah!)",Drama|Fantasy|Mystery|Romance,860806,84
Accused (Anklaget),Drama,977806,66
Closed Curtain,(no genres listed),293568,93
Last Passenger,Action|Mystery|Thriller,413053,75
"Pearls of the Crown, The (Les perles de la couronne)",Comedy,585598,97
Things We Lost in the Fire,Drama|Romance,375417,74
Lucky Break (a.k.a. Paperback Romance),Comedy|Romance,845037,70
Against the Current,Drama,790323,78
Stitch! The Movie,Animation|Children|Comedy,190744,80
Bedlam,Drama|Horror,563286,56
Roberto Succo,Crime|Drama,799629,60
Roadie,Comedy|Musical,328777,86
Swimming with Sharks,Comedy|Drama,969240,53
Benji the Hunted,Adventure|Children,978309,68
Guns of the Magnificent Seven,Action|Adventure|Drama|Western,192900,69
Just the Ticket,Comedy|Romance,485986,83
Even Angels Eat Beans,Action|Comedy|Crime,569959,67
"Princess and the Goblin, The",Animation|Fantasy,386390,63
"Oak, The (Balanta)",Comedy|Drama,408562,68
"Inheritors, The (Siebtelbauern, Die)",Drama|Mystery,388271,59
Sir Arne's Treasure,Drama,283814,76
Zatoichi and the Doomed Man (Zatôichi sakate giri) (Zatôichi 11),Action|Drama,203988,88
Dodsworth,Drama|Romance,585006,73
Amelia,Drama,129456,96
"Rough House, The",Comedy,593730,96
Bright Eyes,Comedy|Drama,873667,64
Water Lilies (Naissance des pieuvres),Drama,290946,91
That Old Feeling,Comedy|Romance,920341,93
"Monster Walks, The",Horror,147137,52
12 Dates of Christmas,Children|Comedy|Fantasy|Romance,535546,50
"Brøken, The (a.k.a. Broken, The)",Drama|Horror|Thriller,215134,88
Water Drops on Burning Rocks,Drama,694555,63
"Sleep, My Love",Drama|Film-Noir|Mystery,881775,70
"Necessary War, The",Documentary,511780,100
Reign of Fire,Action|Adventure|Fantasy,114780,79
Everything,Drama|Mystery,116960,85
Viva,Comedy|Drama|Musical,271768,99
It's a Wonderful Afterlife,Comedy|Drama|Horror|Romance,593937,86
"Bloody Child, The",Drama|Thriller,597255,66
Noise,Comedy|Drama,103133,87
Louisiana Story,Drama,920108,99
Pekka ja Pätkä lumimiehen jäljillä,Comedy,706390,92
Mad Love (Juana la Loca),Drama,586239,80
"Mystery of the Third Planet, The (Tayna tretey planety)",Adventure|Animation|Sci-Fi,891954,54
Wet Hot American Summer,Comedy,373803,61
"Peace, Propaganda & the Promised Land",Documentary,875796,80
"Jungle Book, The",Animation|Children|Comedy|Musical,774830,51
"Swordsman II (Legend of the Swordsman, The) (Xiao ao jiang hu zhi: Dong Fang Bu Bai)",Action|Fantasy,190871,65
Eccentricities of a Blonde-haired Girl (Singularidades de uma Rapariga Loura),Drama|Romance,616746,60
"Normal Heart, The",Drama,301403,75
Doomwatch,Mystery|Sci-Fi|Thriller,896519,52
Return to Peyton Place,Drama,199227,64
North Country,Drama,972442,98
Kids,Drama,812816,62
Nightcap (Merci pour le chocolat),Crime|Thriller,549706,97
"Tomorrow, the World!",Drama,211136,96
Stanley and Livingstone,Adventure|Drama,998037,84
13 Sins,Horror|Thriller,502826,50
"Centenarian Who Climbed Out the Window and Vanished, The (Hundraåringen som klev ut genom fönstret och försvann)",Adventure|Comedy|Drama,403120,92
"Prey, The (La proie)",Action|Crime|Thriller,281922,94
Chesty: A Tribute to a Legend,Documentary,845850,78
71 Fragments of a Chronology of Chance (71 Fragmente einer Chronologie des Zufalls),Drama,130269,57
Ray,Drama,106373,65
Tron: Legacy,Action|Adventure|Sci-Fi|IMAX,794020,93
Cool Air,Horror,509036,63
Flamingo Road,Drama|Romance,652558,95
"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire",Documentary,496529,77
Air Bud,Children|Comedy,769098,58
Sholay,Action|Adventure|Comedy|Musical|Romance|Thriller,975720,82
"Return of Doctor X, The",Horror|Mystery|Sci-Fi|Thriller,139117,67
Tom and Jerry: The Movie,Animation|Children|Comedy,259226,90
In Cold Blood,Crime,277625,94
Service (Serbis),Drama,215474,80
Neds,Drama,559071,52
Tenderness (Hellyys),Comedy,652458,69
From Hell,Crime|Horror|Mystery|Thriller,846528,78
My Boy,Comedy|Drama,942515,99
Contagion,Sci-Fi|Thriller|IMAX,447218,81
Les Formidables (Gang-jeok),Action|Adventure|Crime,671705,72
"Page Turner, The (Tourneuse de pages, La)",Drama|Musical|Thriller,707262,64
Never Say... Never! (Il ne faut jurer... de rien!),Comedy,939589,99
You Don't Mess with the Zohan,Comedy,124419,78
Maborosi (Maboroshi no hikari),Drama,324028,91
"Summer Wishes, Winter Dreams",Drama,776976,96
Dirty Bomb,Comedy,787299,83
Crazy Thunder Road,Action|Sci-Fi,813336,89
War Photographer,Documentary|War,722574,79
Frontière(s),Drama|Horror|Thriller,516403,76
ATL,Drama,182541,96
Wedding Belles,Comedy|Drama,102526,91
Sunnyside,Comedy,124104,76
Hello Again,Comedy,797795,93
Three Times (Zui hao de shi guang),Drama|Romance,377179,62
Privilege,Drama|Musical,957208,84
Sandra of a Thousand Delights (Vaghe stelle dell'Orsa...),Drama,243888,60
Airport,Drama,236443,65
"Simple Life, A (Tao jie)",Drama,465458,70
Playground,(no genres listed),306287,92
Horror of the Zombies,Horror,591237,96
Earth to Echo,Adventure|Children|Sci-Fi,157024,56
Brother Orchid,Comedy|Crime|Drama|Romance,910545,84
You're Next,Horror|Thriller,948750,82
Whisky,Comedy|Drama,697341,73
How to Irritate People,Comedy,203529,76
Horrible Bosses,Comedy|Crime,691787,70
Little Big League,Comedy|Drama,624496,84
Nobody Wants the Night,Drama,724075,94
Gentlemen Broncos,Comedy,828758,83
Righteous Kill,Crime|Mystery|Thriller,288771,70
Water,Drama|Romance,908076,65
Sombre,Drama|Horror,887802,77
Ghetto (Vilniaus Getas),War,316753,94
Devil in the Flesh,Drama|Romance,206074,67
More Dead Than Alive,Romance|Western,285736,84
"Atomic States of America, The",Documentary,656425,75
Like Mike,Children|Comedy|Fantasy,923058,79
José and Pilar (José e Pilar),Documentary,697239,77
"Story of Women (Affaire de femmes, Une)",Drama,735328,77
Horror of the Zombies,Horror,390126,61
Arn: The Knight Templar (Arn - Tempelriddaren),Action|Adventure|Drama|Romance|War,143963,99
Senna,Documentary,339825,81
True Blue ,Crime|Drama|Thriller,315903,77
"Sandlot, The",Children|Comedy|Drama,339468,82
Between Strangers,Drama,305910,95
Ladies in Lavender,Comedy|Drama|Romance,310307,51
Entre ses mains,Drama|Romance|Thriller,643830,86
Riley Rewind,Drama|Sci-Fi,541631,83
Yu-Gi-Oh!,Animation,857689,57
Captive Heart: The James Mink Story,Drama,568528,97
Man of Her Dreams (a.k.a. The Fiancé),Drama,650128,98
Melvin and Howard,Drama,103123,98
Barefoot in the Park,Comedy,786114,60
Going Straight,Crime|Drama,784261,74
Vampires,Comedy|Fantasy|Horror,690589,68
"Masquerade (Gwanghai, Wangyidoen namja)",Drama,856830,56
Jim Norton: Please Be Offended,Comedy,157259,75
Human Planet,Documentary,510103,64
Mulan,Action|Adventure|Drama|Romance,565686,88
Danger: Diabolik (Diabolik),Action|Crime|Thriller,223291,51
Bakhita,Drama,263594,57
Gentlemen,Drama|Romance|Thriller,550584,95
Switchblade Sisters,Crime,449941,79
Disaster Movie,Comedy,761326,68
Witless Protection,Comedy,795396,57
Crawlspace,Horror|Mystery|Sci-Fi|Thriller,675167,50
Popular Music (Populärmusik från Vittula),Comedy|Drama,323223,87
Angelus,Comedy|Drama,642534,55
Scissere,Drama,161473,57
I Love You Too (Ik ook Van Jou),Drama|Romance,709161,72
Mighty Aphrodite,Comedy|Drama|Romance,679812,83
Escape from Dartmoor,Crime|Drama,581273,98
300: Rise of an Empire,Action|Drama|War|IMAX,672042,62
Passion Fish,Drama,645256,59
"Loss of Sexual Innocence, The",Drama|Fantasy,611475,80
Paranoid Park,Crime|Drama,997455,75
Balseros (Cuban Rafters),Documentary,691850,66
Ernest Saves Christmas,Children|Comedy,986159,54
Amer,Drama|Horror,752163,69
"Swimmer, The",Drama,398035,100
Bert - Den siste oskulden,(no genres listed),631328,80
Throw Down (Yau doh lung fu bong),Drama,698517,72
Walk of Shame,Comedy,638804,78
"Benny Goodman Story, The",Drama|Musical,194831,63
Shaft,Action|Crime|Thriller,622153,71
Main Prem Ki Diwani Hoon,Comedy|Drama|Romance,509139,79
Delta,Drama,582643,58
Buddy,Comedy|Drama,495324,93
My Life as McDull (Mak dau goo si),Animation|Comedy|Drama,113755,55
"Tunnel, The (Tunnel, Der)",Action|Drama|Thriller,410928,69
Darkest Night,Drama|Horror,198874,83
"Other Sister, The",Comedy|Drama|Romance,773590,89
Unholy,Horror|Thriller,366237,98
Electric Dragon 80.000 V,Drama|Fantasy|Sci-Fi,925631,68
"Ronde, La",Drama,571220,90
Asfalttilampaat,Drama,851974,74
Genocide,Documentary,693224,58
Dark of the Sun,Action|Adventure|Drama|War,531953,91
A Story of Children and Film,Documentary,989448,83
"King and the Mockingbird, The (Le roi et l'oiseau)",Animation|Children|Fantasy,691064,84
War Horse,Drama|War,915505,98
Julie Johnson,Drama,878005,64
Charlie Chan in Reno,Comedy|Crime|Drama|Mystery|Thriller,969157,94
Final Destination 2,Horror|Thriller,521464,81
"Longshots, The",Drama,542745,67
Looking for Comedy in the Muslim World,Comedy,653203,91
Meet the Parents,Comedy,425399,55
Sansa,Drama,417021,54
The Chumscrubber,Comedy|Drama,276271,87
11 Harrowhouse,Comedy|Crime,370744,97
"Animal, The",Comedy,823920,65
"Music Lovers, The",Drama,744833,83
Beyond Re-Animator,Horror,988091,77
Spare Parts,Children|Drama,325221,59
Beyond Borders,Drama|Romance|War,244688,79
Boys Don't Cry (Chlopaki nie placza),Comedy,152593,98
Space Amoeba (Yog: Monster from Space),Action|Sci-Fi,162143,86
Vic+Flo Saw a Bear,Crime|Drama|Thriller,406189,82
Yamakasi - Les samouraïs des temps modernes,Action|Crime|Drama,879125,98
"Simple Life of Noah Dearborn, The",Drama,560262,50
Borrowed Hearts (Borrowed Hearts: A Holiday Romance),Drama|Fantasy|Romance,601913,72
Crossroads,Crime|Drama|Film-Noir,263510,57
Whistle Down the Wind,Drama,161330,88
"Cat Concerto, The",Animation|Children|Comedy,276174,74
Paradise Lost 2: Revelations,Documentary,632521,72
Miracles,Comedy,271268,92
"Great Lie, The",Drama,291110,80
"Canyons, The",Drama|Thriller,679314,67
Peaceful Warrior,Drama,198221,64
"Marcello Mastroianni: I Remember Yes, I Remember (Marcello Mastroianni: mi ricordo, sì, io mi ricordo)",Documentary,908125,58
Gardenia,Crime,557899,73
Mile... Mile & a Half,Documentary,493039,72
Cop and ½,Comedy,332981,78
"Captive, The (La captive)",Drama|Romance,424327,75
"Incredible Shrinking Man, The",Sci-Fi|Thriller,888108,92
The Police Serve the Citizens?,Action|Crime,721007,96
Divided We Fall (Musíme si pomáhat),Comedy|Drama,742973,100
"Newest Pledge, The",Comedy,629900,62
Tender Is the Night,Drama,343886,91
Kramer vs. Kramer,Drama,960112,60
"Emperor Jones, The",Drama,931922,55
Heir to an Execution,Documentary,682986,65
Swiss Family Robinson,Adventure|Children,242103,95
"Class, The (Entre les murs)",Drama,790182,73
Lucia,Drama|Romance|Sci-Fi|Thriller,524523,68
Star of Midnight,Comedy|Mystery|Romance,818282,69
